,title,year,vote_count,vote_average,popularity,genres,weighted_rating,tagline,overview,id,poster_path,description,cast,crew,keywords,mixed_credits
10,Star Wars,1977,6778,8,42.149697,"['Adventure', 'Action', 'Science Fiction']",7.834204815555245,"A long time ago in a galaxy far, far away...",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,11,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.A long time ago in a galaxy far, far away...","['markhamill', 'harrisonford', 'carriefisher']",['georgelucas'],"['android', 'galaxi', 'hermit', 'deathstar', 'lightsab', 'jedi', 'rescuemiss', 'empir', 'rebellion', 'planet', 'smuggler', 'theforc', 'spaceopera', 'galacticwar', 'stormtroop', 'totalitarian']",Adventure Action Science Fiction markhamill harrisonford carriefisher georgelucas georgelucas georgelucas android galaxi hermit deathstar lightsab jedi rescuemiss empir rebellion planet smuggler theforc spaceopera galacticwar stormtroop totalitarian
11,Back to the Future,1985,6239,8,25.778509,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",7.8208129971204,He's the only kid ever to get into trouble before he was born.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",105,/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.He's the only kid ever to get into trouble before he was born.","['michaelj.fox', 'christopherlloyd', 'leathompson']",['robertzemeckis'],"['clocktow', 'carrac', 'terrorist', 'delorean', 'lightn', 'guitar', 'plutonium', 'sportscar', 'inventor', 'journeyinthepast', 'timetravel', 'raceagainsttim', 'partner', 'misfit', 'madscientist', 'fishoutofwat', 'teenagelov', 'destini', 'hiddenident', 'oddcoupl', 'escapad', 'disord', 'chasesandrac', 'loveandrom', 'teenagelif', 'misfitpartn', 'changingthepastorfutur', 'gettinghom', 'inventionsanddiscoveri']",Adventure Comedy Science Fiction Family michaelj.fox christopherlloyd leathompson robertzemeckis robertzemeckis robertzemeckis clocktow carrac terrorist delorean lightn guitar plutonium sportscar inventor journeyinthepast timetravel raceagainsttim partner misfit madscientist fishoutofwat teenagelov destini hiddenident oddcoupl escapad disord chasesandrac loveandrom teenagelif misfitpartn changingthepastorfutur gettinghom inventionsanddiscoveri
12,The Godfather,1972,6024,8,41.109264,"['Drama', 'Crime']",7.814847496095451,An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",238,/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.An offer you can't refuse.","['marlonbrando', 'alpacino', 'jamescaan']",['francisfordcoppola'],"['itali', 'loveatfirstsight', 'lossoffath', 'patriarch', 'organizedcrim', 'mafia', 'lawyer', 'italianamerican', 'crimefamili', 'risetopow', 'mobboss', '1940s']",Drama Crime marlonbrando alpacino jamescaan francisfordcoppola francisfordcoppola francisfordcoppola itali loveatfirstsight lossoffath patriarch organizedcrim mafia lawyer italianamerican crimefamili risetopow mobboss 1940s
13,The Empire Strikes Back,1980,5998,8,19.470959,"['Adventure', 'Action', 'Science Fiction']",7.814099056247579,The Adventure Continues...,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1891,/6u1fYtxG5eqjhtCPDx04pJphQRW.jpg,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.The Adventure Continues...","['markhamill', 'harrisonford', 'carriefisher']",['irvinkershner'],"['rebel', 'android', 'asteroid', 'spacebattl', 'snowstorm', 'spacecoloni', 'spaceship', 'lightsab', 'jedi', 'goodvsevil', 'rebellion', 'theforc', 'spaceopera', 'stormtroop', 'wooki', 'jedimast', 'jeditrain', 'droid']",Adventure Action Science Fiction markhamill harrisonford carriefisher irvinkershner irvinkershner irvinkershner rebel android asteroid spacebattl snowstorm spacecoloni spaceship lightsab jedi goodvsevil rebellion theforc spaceopera stormtroop wooki jedimast jeditrain droid
14,Se7en,1995,5915,8,18.45743,"['Crime', 'Mystery', 'Thriller']",7.81166878717663,Seven deadly sins. Seven ways to die.,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",807,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.Seven deadly sins. Seven ways to die.","['bradpitt', 'morganfreeman', 'gwynethpaltrow']",['davidfincher'],"['self-fulfillingpropheci', 'detect', 's.w.a.t.', 'drugdeal', 'eviscer', 'lustandimpuls', 'rageandh', 'prideandvan', 'immoder', 'insomnia', 'investig', 'pension', 'polic', 'serialkil']",Crime Mystery Thriller bradpitt morganfreeman gwynethpaltrow davidfincher davidfincher davidfincher self-fulfillingpropheci detect s.w.a.t. drugdeal eviscer lustandimpuls rageandh prideandvan immoder insomnia investig pension polic serialkil
15,The Imitation Game,2014,5895,8,31.59594,"['History', 'Drama', 'Thriller', 'War']",7.811073649831636,The true enigma was the man who cracked the code.,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",205596,/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.The true enigma was the man who cracked the code.","['benedictcumberbatch', 'keiraknightley', 'matthewgoode']",['mortentyldum'],"['gay', 'england', 'worldwarii', 'mathematician', 'biographi', 'logician', 'cryptographi']",History Drama Thriller War benedictcumberbatch keiraknightley matthewgoode mortentyldum mortentyldum mortentyldum gay england worldwarii mathematician biographi logician cryptographi
16,The Lion King,1994,5520,8,21.605761,"['Family', 'Animation', 'Drama']",7.799174526332621,Life's greatest adventure is finding your place in the Circle of Life.,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,8587,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.Life's greatest adventure is finding your place in the Circle of Life.,"['jonathantaylorthomas', 'matthewbroderick', 'jamesearljones']",['rogerallers'],"['lossofpar', 'wildboar', 'uncl', 'shaman', 'redempt', 'king', 'scar', 'hyena', 'meerkat']",Family Animation Drama jonathantaylorthomas matthewbroderick jamesearljones rogerallers rogerallers rogerallers lossofpar wildboar uncl shaman redempt king scar hyena meerkat
17,The Intouchables,2011,5410,8,16.086919,"['Drama', 'Comedy']",7.7953944438371705,Sometimes you have to reach into someone else's world to find out what's missing in your own.,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,77338,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.Sometimes you have to reach into someone else's world to find out what's missing in your own.,"['françoiscluzet', 'omarsy', 'audreyfleurot']",['erictoledano'],"['malefriendship', 'masseus', 'friendship', 'aristocrat', 'interracialfriendship', 'unlikelyfriendship', 'duringcreditssting']",Drama Comedy françoiscluzet omarsy audreyfleurot erictoledano erictoledano erictoledano malefriendship masseus friendship aristocrat interracialfriendship unlikelyfriendship duringcreditssting
18,The Grand Budapest Hotel,2014,4644,8,14.442048,"['Comedy', 'Drama']",7.764530352458532,A perfect holiday without leaving home.,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",120467,/nX5XotM9yprCKarRH4fzOq1VM1J.jpg,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.A perfect holiday without leaving home.","['ralphfiennes', 'tonyrevolori', 'f.murrayabraham']",['wesanderson'],"['hotel', 'paint', 'wartim', 'gunfight', 'theft', 'mentorprotégérelationship', 'european', 'hotellobbi', 'renaissancepaint']",Comedy Drama ralphfiennes tonyrevolori f.murrayabraham wesanderson wesanderson wesanderson hotel paint wartim gunfight theft mentorprotégérelationship european hotellobbi renaissancepaint
19,The Silence of the Lambs,1991,4549,8,4.307222,"['Crime', 'Drama', 'Thriller']",7.760041165921017,To enter the mind of a killer she must challenge the mind of a madman.,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",274,/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.To enter the mind of a killer she must challenge the mind of a madman.","['jodiefoster', 'anthonyhopkins', 'scottglenn']",['jonathandemme'],"['basedonnovel', 'psychopath', 'horror', 'suspens', 'serialkil', 'psychologicalthril', 'cannib', 'fbiagent', 'animalincastcredit', 'cannib']",Crime Drama Thriller jodiefoster anthonyhopkins scottglenn jonathandemme jonathandemme jonathandemme basedonnovel psychopath horror suspens serialkil psychologicalthril cannib fbiagent animalincastcredit cannib
20,The Prestige,2006,4510,8,16.94556,"['Drama', 'Mystery', 'Thriller']",7.758148286768694,Are You Watching Closely?,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",1124,/5MXyQfz8xUP3dIFPTubhTsbFY6N.jpg,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.Are You Watching Closely?","['hughjackman', 'christianbale', 'michaelcaine']",['christophernolan'],"['competit', 'secret', 'obsess', 'magic', 'dyinganddeath', 'classsocieti', 'illus', 'trick', 'hostil', 'class', 'rivalri']",Drama Mystery Thriller hughjackman christianbale michaelcaine christophernolan christophernolan christophernolan competit secret obsess magic dyinganddeath classsocieti illus trick hostil class rivalri
21,Schindler's List,1993,4436,8,41.725123,"['Drama', 'History', 'War']",7.754473332604605,"Whoever saves one life, saves the world entire.",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,424,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,"The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.Whoever saves one life, saves the world entire.","['liamneeson', 'benkingsley', 'ralphfiennes']",['stevenspielberg'],"['factori', 'concentrationcamp', 'hero', 'holocaust', 'worldwarii', 'nazi', 'defenseindustri', 'biographi', 'theholocaust']",Drama History War liamneeson benkingsley ralphfiennes stevenspielberg stevenspielberg stevenspielberg factori concentrationcamp hero holocaust worldwarii nazi defenseindustri biographi theholocaust
22,Whiplash,2014,4376,8,64.29999,['Drama'],7.7514106298928125,The road to greatness can take you to the edge.,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",244786,/lIv1QinFqz4dlp5U4lQ6HaiskOZ.jpg,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.The road to greatness can take you to the edge.","['milesteller', 'j.k.simmons', 'melissabenoist']",['damienchazelle'],"['jazz', 'obsess', 'conservatori', 'musicteach', 'newyorkc', 'violenc', 'montag', 'drummer', 'publichumili', 'jazzband', 'youngadult', 'musicschool']",Drama milesteller j.k.simmons melissabenoist damienchazelle damienchazelle damienchazelle jazz obsess conservatori musicteach newyorkc violenc montag drummer publichumili jazzband youngadult musicschool
23,Leon: The Professional,1994,4293,8,20.477329,"['Thriller', 'Crime', 'Drama']",7.747045722399921,"If you want a job done well, hire a professional.","Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",101,/gE8S02QUOhVnAmYu4tcrBlMTujz.jpg,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.If you want a job done well, hire a professional.","['jeanreno', 'natalieportman', 'garyoldman']",['lucbesson'],"['newyork', 'corrupt', 'assassin', 'policebrut', 'lossoffamili', 's.w.a.t.', 'immigr', 'hitman', 'train', 'reveng', 'murder', 'loneli', 'neighbor', 'tragiclov', 'cultfilm', 'neo-noir', 'complexrelationship', 'complexcharact']",Thriller Crime Drama jeanreno natalieportman garyoldman lucbesson lucbesson lucbesson newyork corrupt assassin policebrut lossoffamili s.w.a.t. immigr hitman train reveng murder loneli neighbor tragiclov cultfilm neo-noir complexrelationship complexcharact
